injector,strength_sum,positive_strength_sum,negative_strength_sum,top_neighbor,top_neighbor_strength,top_directed_influenced,top_directed_out_corr,top_directed_influencer,top_directed_in_corr,degree_centrality,betweenness_centrality
4625,6.984103016321105,0.5698956303317909,-0.43010436966820903,2902,0.7170427200447752,24528,-0.05600958584110442,2902,-0.10605439907857693,0.5862068965517241,0.03940886699507389
2902,6.258533288363355,0.414507913783606,-0.5854920862163938,24779,0.7210229856257501,4625,-0.10605439907857693,4648,0.0708934038431467,0.5172413793103449,0.0024630541871921183
3592,6.080756032815559,0.5341307283838733,-0.4658692716161267,4611,0.6756712020889161,4648,-0.08303431710833073,24779,0.12414236292679541,0.5172413793103449,0.009852216748768473
23308,5.945338498953039,0.4633377032643242,-0.5366622967356758,4636,0.7131443111940853,3592Д/2,-0.05353824963861563,24527,0.07835401912828376,0.6206896551724138,0.054187192118226604
2992,5.891537157151247,0.5679038532990589,-0.43209614670094115,23414,0.8404799929116901,4634Д,-0.053895664686545296,24779,-0.1101678583846906,0.7586206896551724,0.1724137931034483
4636,5.606909773609109,0.4456397971782319,-0.5543602028217682,23308,0.7131443111940853,23322,-0.08497332986776904,2558,-0.07991124372071647,0.5862068965517241,0.024630541871921183
4639,5.46336744980305,0.4835077291068853,-0.5164922708931147,4625,0.5205322660620177,23311,0.06568245970655426,24779,0.1424632660212359,0.5172413793103449,0.03694581280788178
2903,5.316955846521163,0.48030042134715134,-0.5196995786528485,4625,0.565234210516317,4650,-0.07807484114646245,4650,0.11624742349486539,0.41379310344827586,0.0024630541871921183
4702,5.275483107946833,0.6046411810455824,-0.39535881895441777,2997,0.983373548073159,4634Д,-0.058357103853631145,24779,-0.1114241160022706,0.5517241379310345,0.03694581280788178
23414,5.1833002972726865,0.5826889586521526,-0.41731104134784713,2992,0.8404799929116901,4650,0.057905315786595295,24779,-0.11648102003793795,0.5517241379310345,0.06157635467980296
2997,5.1479434409639975,0.6004884446947193,-0.3995115553052806,4702,0.983373548073159,4634Д,-0.0650131652578585,24527,0.09780339148257235,0.5172413793103449,0.012315270935960592
24779,4.989985409792267,0.5217533244937946,-0.47824667550620503,2902,0.7210229856257501,4648,0.143786625271989,2558,0.09737513218281998,0.3103448275862069,0.017241379310344827
24528,4.988639431257631,0.4887044738787922,-0.5112955261212077,2556,0.7257508407526898,2553,-0.09212974149496139,4698,-0.08645753779044732,0.48275862068965514,0.03201970443349754
3592Д/2,4.953722131023911,0.49686159201368413,-0.503138407986316,4625,0.5605322779016965,2556,0.08037127446107227,2902,-0.08699672150076544,0.48275862068965514,0.024630541871921183
4634Д,4.730201861064481,0.4111441073367111,-0.588855892663289,4636,0.3958002842285583,4611,0.14967282624874337,2997,-0.0650131652578585,0.5517241379310345,0.05665024630541872
24759,4.511277419976099,0.4592895085677908,-0.5407104914322093,4636,0.4276559841384342,2558,0.0742749707787532,24527,0.08240172517770615,0.3793103448275862,0.0
4611,4.489382852261055,0.5188702372674329,-0.4811297627325672,3592,0.6756712020889161,2556,0.07544909712696084,4634Д,0.14967282624874337,0.24137931034482757,0.0
2994,4.129494050108293,0.49041662176286827,-0.5095833782371315,4698,0.5252940289573335,24779,0.07368571107452601,2555,-0.12047746541466928,0.3448275862068966,0.046798029556650245
4648,4.0958741837821515,0.4568163209461132,-0.5431836790538869,23322,0.36379501580749507,24527,0.07394622987015324,24779,0.143786625271989,0.3793103448275862,0.024630541871921183
24527,3.8474433758221798,0.5608961664474987,-0.4391038335525012,23311,0.41240714389733385,2997,0.09780339148257235,23322,0.0798164516925465,0.27586206896551724,0.0049261083743842365
2555,3.667607636788498,0.4721298689725774,-0.5278701310274226,2553,0.40036721150158305,2994,-0.12047746541466928,23311,0.09508202349388502,0.3448275862068966,0.10591133004926108
2556,3.632848212347093,0.45494643806229085,-0.5450535619377092,24528,0.7257508407526898,4650,0.10199134328318657,23322,-0.09811580342967656,0.20689655172413793,0.009852216748768473
9684,3.5083226022614724,0.6302343183753736,-0.3697656816246265,23281,0.3393015154904805,24779,0.09542581633543797,24779,-0.1013934498099678,0.3448275862068966,0.04433497536945813
4650,3.350734558129883,0.32964521948247044,-0.6703547805175294,4634Д,0.32084907740339175,2903,0.11624742349486539,2556,0.10199134328318657,0.3103448275862069,0.0
23322,3.319346918798448,0.4853015694415478,-0.5146984305584523,4648,0.36379501580749507,2556,-0.09811580342967656,24779,0.10300786645011455,0.3103448275862069,0.0024630541871921183
23281,3.1160224653281596,0.5386834698753775,-0.46131653012462254,9684,0.3393015154904805,4702,-0.07950854087898303,23311,0.07508915320656463,0.24137931034482757,0.04926108374384237
4698,3.1092736893920447,0.32632068802186326,-0.6736793119781369,2994,0.5252940289573335,2553,-0.10353633274182913,2553,-0.08429727071957815,0.1724137931034483,0.019704433497536946
2553,2.8469006220278663,0.568342881646175,-0.43165711835382503,2556,0.546825054928721,4698,-0.08429727071957815,4698,-0.10353633274182913,0.13793103448275862,0.0
23311,2.6841198201328127,0.45532856675302913,-0.544671433246971,24527,0.41240714389733385,2997,0.09706625691323577,4648,0.06886162708872656,0.10344827586206896,0.0
2558,2.124986950102129,0.6155797226686857,-0.38442027733131434,9684,0.27070805063501413,24779,0.09737513218281998,24527,-0.08037353031224931,0.10344827586206896,0.0
