source,target,producer_overlap,same_branch,historical_share_corr,lag1_directed_corr,combined_strength,combined_signed
2162,2163,0.8972395949620536,1.0,0.5773884584314648,-0.28707652439263687,0.8218363350104663,0.28934149529734393
2163,2162,0.8972395949620536,1.0,0.5773884584314648,0.34063034444058365,0.8218363350104663,0.2647396347857488
2165,2166,0.6656624153455092,1.0,0.6748587167240316,-0.8239424237323439,0.7352888226899641,0.2562047958355774
2166,2165,0.6656624153455092,1.0,0.6748587167240316,0.2943872398458908,0.7352888226899641,0.2293925450938267
4398,4397,0.9363163229973713,0.0,0.2794389002757665,-0.2351959238376435,0.5519898315814156,0.1850971674519439
4397,4398,0.9363163229973713,0.0,0.2794389002757665,-0.2304096289621841,0.5519898315814156,0.18929874708737718
2017,2017А,0.6274558051381586,1.0,-0.06977498254333753,0.5023347227090762,0.5346603973320806,0.17738185890776223
2017А,2017,0.6274558051381586,1.0,-0.06977498254333753,-0.4122056360989932,0.5346603973320806,0.2395791380197033
2146,2064,0.49914413821378967,1.0,-0.1827193282464394,-0.09948871783193862,0.5043878675808267,-0.21827867696170122
2064,2146,0.49914413821378967,1.0,-0.1827193282464394,-0.1371238205679718,0.5043878675808267,-0.1539336797878933
2077,2074,0.5547001962252291,1.0,-0.04555107499276381,0.22097020167743825,0.49101542061044373,0.24228205546987452
2074,2077,0.5547001962252291,1.0,-0.04555107499276381,-0.26963799227182617,0.49101542061044373,0.16762079275234779
2072,2074,0.7526108274911983,0.0,-0.16150839786366258,0.3873678866039947,0.42475793310469795,-0.14396904794573664
2074,2072,0.7526108274911983,0.0,-0.16150839786366258,-0.3336119709880612,0.42475793310469795,-0.14500208850129911
820,2015,0.4080856797727979,1.0,-0.053017619643137524,-0.1920780830626924,0.41994812577934026,0.12892891329710726
2015,820,0.4080856797727979,1.0,-0.053017619643137524,-0.5798624222318576,0.41994812577934026,0.20869300340063907
2166,2167,0.6725382459813658,0.0,-0.17879321758511382,-0.4224397959761156,0.38990708826621706,-0.12164169584449697
2167,2166,0.6725382459813658,0.0,-0.17879321758511382,0.871025460260688,0.38990708826621706,-0.17519127526093042
4394,2026,0.619411624075483,0.0,-0.2141474905252379,-0.17974421338553595,0.3739500591953129,-0.10311540498999278
2026,4394,0.619411624075483,0.0,-0.2141474905252379,-0.2366444335233666,0.3739500591953129,-0.17022018034221034
2031,4394,0.7140062188840496,0.0,-0.043091159046977336,0.044396273595881455,0.369930457156118,0.16773804856405608
4394,2031,0.7140062188840496,0.0,-0.043091159046977336,-0.12845041657861947,0.369930457156118,0.10200701395761244
2697,4398,0.1324107171789642,1.0,-0.2732332513438337,-0.04877164263142168,0.34817533399263223,-0.11537024104219967
4398,2697,0.1324107171789642,1.0,-0.2732332513438337,0.5124308680558409,0.34817533399263223,-0.11675263639193555
2167,2161,0.5627041755055558,0.0,0.18591619376130208,-0.05151138183503651,0.33712694588116854,0.1514763423162469
2161,2167,0.5627041755055558,0.0,0.18591619376130208,-0.15965870943447782,0.33712694588116854,0.11679068321617511
951,2074,0.27520836646151264,0.0,0.6207945845083286,-0.04718707664028222,0.3238425585832549,0.10286051051151363
2074,951,0.27520836646151264,0.0,0.6207945845083286,-0.04118053058949977,0.3238425585832549,0.11055201958665173
4398,4394,0.4249541121840762,0.0,-0.33581681661703755,-0.039244417206910506,0.3132221010771494,-0.10503186902307202
4394,4398,0.4249541121840762,0.0,-0.33581681661703755,0.1538401166997603,0.3132221010771494,-0.08636988552398532
