injector,strength_sum,positive_strength_sum,negative_strength_sum,top_neighbor,top_neighbor_strength,top_directed_influenced,top_directed_out_corr,top_directed_influencer,top_directed_in_corr,degree_centrality,betweenness_centrality
16228,7.519760787640641,0.38463463232465467,-0.6153653676753454,26310,0.5963409785020626,7443Д/1,-0.07327415834790471,26259,0.07327844377254328,0.7575757575757576,0.05113636363636364
26256,6.939706228722954,0.6260409585847213,-0.3739590414152787,26257,0.4840656187020934,26293,0.1161239699864884,16186,-0.09180004647412719,0.5757575757575758,0.003787878787878788
7620,6.839312139765087,0.596955122654634,-0.4030448773453661,26228,0.468983660067989,7965,0.0917800097172173,26256,0.11450785582602724,0.6060606060606061,0.01893939393939394
7585,6.683197131062151,0.5532387122211337,-0.44676128777886615,7586,0.581003836347369,26183,-0.11563325954728751,16181,-0.10455815617918501,0.696969696969697,0.03977272727272727
26220,6.635936712399116,0.5925463617160682,-0.40745363828393155,16228,0.4674844880606818,7443Д/1,0.07751677900593379,15150Д,-0.07114030405290611,0.6363636363636364,0.05681818181818182
26310,6.4517195931619975,0.5699882340195841,-0.430011765980416,16228,0.5963409785020626,7516Д,-0.07879867926550492,26256,-0.09284182690380142,0.6363636363636364,0.07007575757575758
15150Д,6.343648257389093,0.6583078721489305,-0.3416921278510695,15150,0.8847475723197262,7587,-0.07339421530786827,16210,-0.08370942780412578,0.5454545454545454,0.01893939393939394
26183,6.3000675947787235,0.5662601111365837,-0.4337398888634163,16241,0.44639140242050623,26228,-0.07375654746978863,7585,-0.11563325954728751,0.6363636363636364,0.030303030303030304
26257,6.095087796147496,0.3482129829137841,-0.651787017086216,26256,0.4840656187020934,26293,-0.11517591580429863,16192,0.08028224996812418,0.48484848484848486,0.007575757575757576
26218,6.028159388953974,0.47462342235712085,-0.5253765776428792,16181,0.4654367441004158,16181,-0.11084992951595801,7579,-0.08309108078322396,0.6060606060606061,0.05303030303030303
26293,5.99134008559664,0.4265906145664733,-0.5734093854335268,26304,0.7600928825883941,26249,-0.09464540575407057,26256,0.1161239699864884,0.5454545454545454,0.022727272727272728
15150,5.958420757155193,0.5898813293372617,-0.4101186706627382,15150Д,0.8847475723197262,7583А,0.07312376680758875,16192,-0.08265798866039831,0.42424242424242425,0.00946969696969697
26203,5.594126889873852,0.47711270557958635,-0.5228872944204135,16197,0.5234314685281707,26233,-0.11385254543167217,26249,-0.10128614428294161,0.48484848484848486,0.026515151515151516
26233,5.583875774133604,0.44182548734418337,-0.5581745126558164,7587,0.3971309122371062,16181,0.09997619337473629,26203,-0.11385254543167217,0.5151515151515151,0.017045454545454544
7965,5.433129377613199,0.4521233020930629,-0.5478766979069372,26249,0.6389090575498804,16241,-0.10194070429346473,26293,0.09364810799411616,0.3939393939393939,0.017045454545454544
16210,5.323635508797642,0.6667440386560067,-0.3332559613439932,16186,0.4155094039190327,15150Д,-0.08370942780412578,7443Д/1,0.11547067668201169,0.48484848484848486,0.026515151515151516
7583А,5.2734372633716875,0.674132058197838,-0.32586794180216216,26183,0.39603980638509606,26218,0.0806211756156871,7585,-0.08282060199391081,0.42424242424242425,0.026515151515151516
16197,5.06893034629482,0.4314767578288069,-0.5685232421711931,26203,0.5234314685281707,26304,-0.0827387068896693,26203,-0.11085364530504452,0.4545454545454546,0.02840909090909091
16241,5.019206168679862,0.5062498763268488,-0.4937501236731513,26183,0.44639140242050623,26304,-0.0682984090199243,7965,-0.10194070429346473,0.2727272727272727,0.0
26304,4.953809744000998,0.34769581428374746,-0.6523041857162528,26293,0.7600928825883941,7585,0.10327945487785964,16197,-0.0827387068896693,0.33333333333333337,0.013257575757575758
7516Д,4.936961185710923,0.3995668256441233,-0.6004331743558766,26257,0.37839540542209293,16192,-0.07930997497962687,26310,-0.07879867926550492,0.4545454545454546,0.005681818181818182
16181,4.931409899134694,0.5170726766859127,-0.4829273233140874,26218,0.4654367441004158,7585,-0.10455815617918501,26218,-0.11084992951595801,0.42424242424242425,0.013257575757575758
26259,4.737871673328329,0.7159209112593562,-0.2840790887406437,15150,0.3407692086453551,26231,0.08758408837610462,7587,0.09568370205628633,0.4545454545454546,0.011363636363636364
7586,4.623372408412495,0.5990088028752395,-0.40099119712476056,7585,0.581003836347369,16259,-0.09021254844933917,26293,-0.0905249874024872,0.33333333333333337,0.005681818181818182
16186,4.584046326361411,0.6338386172515342,-0.36616138274846577,16210,0.4155094039190327,26256,-0.09180004647412719,16259,-0.0715496253030326,0.33333333333333337,0.01893939393939394
26228,4.386129841041638,0.5198993897861439,-0.48010061021385614,7620,0.468983660067989,16210,0.0711856083596913,26183,-0.07375654746978863,0.33333333333333337,0.00946969696969697
26249,4.289018593684849,0.4133870245661047,-0.5866129754338951,7965,0.6389090575498804,16259,-0.12876878546350573,26293,-0.09464540575407057,0.33333333333333337,0.032196969696969696
7587,4.257568472072835,0.43400580679894263,-0.565994193201057,7585,0.5608148683582064,26259,0.09568370205628633,16197,0.07900831160713884,0.30303030303030304,0.007575757575757576
26214,4.194530370867528,0.5216321887856249,-0.4783678112143748,26231,0.6265390698101123,7443Д/1,-0.07869706336862267,26259,0.07824981780370473,0.33333333333333337,0.0
26231,4.143213782565096,0.5832064432370553,-0.4167935567629446,26214,0.6265390698101123,7443Д/1,-0.08394491562720104,26259,0.08758408837610462,0.21212121212121213,0.003787878787878788
7443Д/1,4.057087900303965,0.5033033950369343,-0.49669660496306567,16192,0.2265379956226688,16210,0.11547067668201169,26231,-0.08394491562720104,0.30303030303030304,0.03409090909090909
16192,4.013385036420537,0.4526324589071737,-0.5473675410928263,26203,0.4604697106215686,15150,-0.08265798866039831,7516Д,-0.07930997497962687,0.30303030303030304,0.020833333333333336
7579,3.989204632306178,0.40952874448093207,-0.5904712555190679,26218,0.4039702187138401,16181,-0.10019009082125052,7585,0.07990139245988272,0.15151515151515152,0.0
16259,2.7940828516828127,0.5277904034630437,-0.47220959653695627,16197,0.303513309587407,26233,-0.09182983563276015,26249,-0.12876878546350573,0.18181818181818182,0.00946969696969697
