source,target,producer_overlap,same_branch,historical_share_corr,lag1_directed_corr,combined_strength,combined_signed
15150,15150Д,0.9552968629960534,1.0,0.690330469405665,0.0075876349937668884,0.8847475723197262,0.14848692436788283
15150Д,15150,0.9552968629960534,1.0,0.690330469405665,-0.21768982879898444,0.8847475723197262,0.1394698344582978
26304,26293,0.9413574486632833,1.0,-0.2980471941891751,0.1378649339326851,0.7600928825883941,-0.15343602638532033
26293,26304,0.9413574486632833,1.0,-0.2980471941891751,0.1068986994822283,0.7600928825883941,-0.1268652541383321
7965,26249,0.8319044630465554,0.0,-0.7431894200886754,-0.09935045463414184,0.6389090575498804,-0.11759503835532743
26249,7965,0.8319044630465554,0.0,-0.7431894200886754,-0.02000344627634871,0.6389090575498804,-0.14896392813279244
26231,26214,0.39031626572844447,1.0,0.7712697898196337,0.07189680374863097,0.6265390698101123,0.1512205506861915
26214,26231,0.39031626572844447,1.0,0.7712697898196337,0.29897499034459063,0.6265390698101123,0.14937049309778372
16228,26310,0.3079421385470801,1.0,-0.8078996974284086,-0.021391732258260524,0.5963409785020626,-0.07930318468137963
26310,16228,0.3079421385470801,1.0,-0.8078996974284086,0.07674194253671318,0.5963409785020626,-0.09243132313656474
7586,7585,0.5283526972762532,1.0,-0.3894249590308078,-0.198335679801917,0.581003836347369,-0.12566667467457276
7585,7586,0.5283526972762532,1.0,-0.3894249590308078,-0.3327494755389461,0.581003836347369,-0.08693501402898628
7587,7585,0.8578930791205124,0.0,0.43956109599316734,-0.047187622199022866,0.5608148683582064,0.1317218670790205
7585,7587,0.8578930791205124,0.0,0.43956109599316734,-0.07208442070764208,0.5608148683582064,0.08391415925046593
16197,26203,0.15213428603168405,1.0,-0.8245477517077622,-0.25328936101394,0.5234314685281707,-0.10326270687676298
26203,16197,0.15213428603168405,1.0,-0.8245477517077622,-0.7494578432159461,0.5234314685281707,-0.09356803641255519
26257,26256,0.39091453084067823,0.0,-0.9620278442725142,-0.2463237647531151,0.4840656187020934,-0.07941897391667686
26256,26257,0.39091453084067823,0.0,-0.9620278442725142,-0.02781453070761233,0.4840656187020934,-0.06975304180724251
7620,26228,0.37117571267132204,1.0,-0.2779860124410932,-0.0910649635344491,0.468983660067989,-0.0685717584581682
26228,7620,0.37117571267132204,1.0,-0.2779860124410932,-3.986116291517675e-18,0.468983660067989,-0.10692425374179364
26220,16228,0.0,1.0,-0.8916149602022727,-0.01334075323040503,0.4674844880606818,-0.0704474000162172
16228,26220,0.0,1.0,-0.8916149602022727,-0.10386705057244408,0.4674844880606818,-0.06216746799034244
26256,15150Д,0.0,1.0,0.8891058409291211,-0.0845174105822217,0.46673175227873637,0.06725526079864398
15150Д,26256,0.0,1.0,0.8891058409291211,0.485881386137771,0.46673175227873637,0.07357465820004859
26218,16181,0.20948072237682722,1.0,0.5356546097066739,-0.637791171117124,0.4654367441004158,0.07721042428859531
16181,26218,0.20948072237682722,1.0,0.5356546097066739,-0.059836675368723495,0.4654367441004158,0.09438208415449001
7620,26256,0.0,1.0,0.8804870302402041,-0.10924727736248545,0.4641461090720612,0.06786444302979326
26256,7620,0.0,1.0,0.8804870302402041,0.7909193420140694,0.4641461090720612,0.06688267395974101
26203,16192,0.3822149030749352,1.0,-0.23120753028033653,-0.28022273677884263,0.4604697106215686,-0.08231306148151249
16192,26203,0.3822149030749352,1.0,-0.23120753028033653,0.07508178625529377,0.4604697106215686,-0.11473349963756602
26256,7965,0.37299907626090156,1.0,0.24481104267337633,0.11374354043573177,0.4599428509324637,0.0662769915286605
7965,26256,0.37299907626090156,1.0,0.24481104267337633,0.09692117681963518,0.4599428509324637,0.08465523623045379
16228,26256,0.1259095909618732,1.0,-0.6183360651980674,0.14911476629288267,0.4484556150403568,-0.059636952252182185
26256,16228,0.1259095909618732,1.0,-0.6183360651980674,0.015040267610630471,0.4484556150403568,-0.06462170014981769
16241,26183,0.3202271576253498,1.0,-0.28759274535943774,0.28163744287624154,0.44639140242050623,-0.08893665400835983
26183,16241,0.3202271576253498,1.0,-0.28759274535943774,-0.35036001273658995,0.44639140242050623,-0.07085501793511864
7620,26220,0.24028851943898202,1.0,0.3868733230372058,-0.38911285003978324,0.4362062566306527,0.06377925845706982
26220,7620,0.24028851943898202,1.0,0.3868733230372058,-0.25444957915255345,0.4362062566306527,0.06573393863380433
7620,15150Д,0.0,1.0,0.7533324203122437,0.01092844407235022,0.4259997260936731,0.062286925554520034
15150Д,7620,0.0,1.0,0.7533324203122437,0.3968953073295373,0.4259997260936731,0.06715374321037863
26220,26310,0.0,1.0,0.7493660028367546,0.16042212710866485,0.4248098008510264,0.0640165539941449
26310,26220,0.0,1.0,0.7493660028367546,0.19109371587677054,0.4248098008510264,0.06584443026650921
7620,16228,0.0,1.0,-0.7372711720520916,-0.14154029799842935,0.4211813516156275,-0.061582413992599845
16228,7620,0.0,1.0,-0.7372711720520916,0.3059276061999456,0.4211813516156275,-0.05600994014435598
